Question,A,B,C,D
"Would you find the word middle on a dictionary page with the following guide words?
meadow - mole",yes,no,,
"Which word would you find on a dictionary page with the following guide words?
tawny - trestle",twelve,textile,,
"Which logical fallacy is used in the text?
Have you ever seen an animal cook its food? No! The idea is absurd and unnatural. That's why the healthiest diet is all raw food, all the time.",bandwagon fallacy: the assumption that the popular choice is automatically correct,false dichotomy: an argument that presents only two choices when more options exist,appeal to nature: the assumption that natural things are always good,
"What does this Works Cited entry indicate about the cited work?
Sherwood, Chris. ""How Do Teenagers Build Credit?"" eHow. Demand Media, n.d. Web. 24 Feb. 2015.","It was published on February 24, 2015.",It doesn't have a date of publication.,eHow is the publisher.,
"Which word would you find on a dictionary page with the following guide words?
shore - swore",suspense,sat,,
"Is there a sentence fragment?
At a latitude of seventy degrees north, Tromsø is Norway's northernmost city. Moreover, it is one of the best places on the planet to view the northern lights, or aurora borealis.",no,yes,,
Suppose Janice decides to watch the comedy. Which result would be a cost?,Janice will get to watch the movie that she is more excited about.,Janice will give up the chance to watch a movie with her sister.,,
"What is the source of the allusion in the sentence below?
When it comes to starting new businesses, Emilia seems to have a Midas touch.",the Bible,Greek mythology,,
"What does the euphemism in this text suggest?
The Blake family donated a number of gently loved books and toys to a local shelter.",The items were no longer wanted.,The items were not new.,,
"The city of Belmont has been one of the world's biggest makers of cough drops for many years. But last month, Belmont's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go down.,The supply will probably go up.,,
"Is this a run-on sentence?
According to one theory, aviator Amelia Earhart may have crash landed on a remote island in the Pacific Ocean rather than crashing into the water as many historians believe.",yes,no,,
"Which logical fallacy is used in the text?
Senator Pena announced today that she plans to cut funding to early childhood education programs. The last thing we need is a government official who hates children!",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,guilt by association: a negative association intended to discredit someone or something,,
"Which tense does the sentence use?
The astronomer uses the telescope only at night.",present tense,past tense,future tense,
"Which figure of speech is used in this text?
""There's nothing I love more than skipping lunch,"" Mr. Benton told the flight attendant when he learned that no food would be available on his cross-country flight.",verbal irony,allusion,,
"Which figure of speech is used in this text?
From the warmth and safety of their beds, the villagers listened to the screaming storm until daybreak. Then there was silence.",personification,allusion,,
Suppose Manny decides to plant the amaryllises. Which result would be a cost?,Manny will give up the chance to look at the oak tree. He thinks it would have looked more beautiful than the amaryllises.,He will save some space. The amaryllises will use up less space than the oak tree would have used up.,,
"Which figure of speech is used in this text?
I've heard that Clare & Co. is downsizing, so I'm happy to see that their store in downtown Greenville will remain open for now.",apostrophe,euphemism,,
Is the student text plagiarized?,"Yes, because it fails to use quotation marks.","Yes, because it fails to cite the source.","No, it is not plagiarized.","Yes, because it fails to use quotation marks and fails to cite the source."
"Would you find the word pep on a dictionary page with the following guide words?
proof - purify",yes,no,,
"Which word would you find on a dictionary page with the following guide words?
careful - correct",cent,cube,,
Is a pencil a good or a service?,a service,a good,,
"Oranges do not grow well in cold temperatures. After an unusually cold winter, what will probably happen to the overall supply of oranges?",The supply will probably go up.,The supply will probably go down.,,
