Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
Some sea anemones establish what kind of relationship with hermit crabs by attaching to the crab’s shell?,parasitic,pathogenic,predatory,mutualistic,D,Biology,Marine Biology,D,D,1,1
What type of feeders are sponges?,bottom feeders,filter feeders,surface feeders,layer feeders,B,Biology,Marine Biology,B,B,1,1
What is the tissue beneath a mollusks' shell called?,cartilage,skin,mantle,mucous,C,Biology,Marine Biology,C,C,1,1
Fish are a diverse and interesting group of organisms in what sub-phylum?,vertebrates,invertebrates,mammals,organelles,A,Biology,Marine Biology,A,A,1,1
"Snails, scallops, and squids are what type of invertebrate?",crustacean,algae,mollusk,arthropod,C,Biology,Marine Biology,C,C,1,1
"Lampreys possess a large round sucker, lined with teeth, that surrounds the mouth and is used to feed on what?",herbivores,parasites,blood,marrow,C,Biology,Marine Biology,C,C,1,1
What part of the body do fish use to absorb oxygen?,gills,tail fin,dorsal fin,under belly,A,Biology,Marine Biology,A,A,1,1
Shrimp are an example of what group within the arthropods?,insect,myriapods,crustaceans,scorpion,C,Biology,Marine Biology,C,C,1,1
"Crabs, lobsters, shrimp, krill, and woodlice are all?",porifera,sponges,crustaceans,arthropods,C,Biology,Marine Biology,C,C,1,1
The ocean is the largest marine biome. it is a continuous body of salt water that is relatively uniform in chemical composition; it is a weak solution of mineral salts and decayed what?,uranium atoms,rock shards,metal ores,biological matter,D,Biology,Marine Biology,D,D,1,1
Jellyfish belong to which phylum?,analidae,porifera,mycobacteria,cnidaria,D,Biology,Marine Biology,D,D,1,1
Which ancient fish has just two living species and is at risk of extinction?,hominids,latimeria,squids,coelacanths,D,Biology,Marine Biology,B,D,0,1
Fish and other aquatic organisms use gills to capture dissolved what?,sulfur,food,nitrogen,oxygen,D,Biology,Marine Biology,D,D,1,1
"Conotoxins released by certain marine snails can bring about paralysis in humans, indicating that this toxin attacks what system?",circulatory,cerebral,neurological,cardiovascular,C,Biology,Marine Biology,C,C,1,1
From what do tubeworms found deep in the galapagos rift get their energy from?,chemosynthetic fish,chemosynthetic bacteria,chemosynthetic plants,chemosynthetic viruses,B,Biology,Marine Biology,B,B,1,1
"Unlike corals, jellyfish spend most of their lives as what?",pupae,infants,cercariae,medusae,D,Biology,Marine Biology,D,D,1,1
Why do butterfly fish have fake eyespots?,mating purposes,confuse predators,aerodynamic purposes,random evolution,B,Biology,Marine Biology,B,B,1,1
"In aquatic communities, the main producers are photosynthetic protists and what?",eukaryotes,prokaryotes,arthropods,crustaceans,B,Biology,Marine Biology,B,B,1,1
Adult sea stars have what kind of symmetry?,skeletal symmetry,hydrological symmetry,biological symmetry,radial symmetry,D,Biology,Marine Biology,D,D,1,1
"What class of animal, including hydras and jellies, is considered the simplest to contain a nervous system?",sponges,fish,cnidarians,prokaryotes,C,Biology,Marine Biology,C,C,1,1
"Unlike an adult sponge, what stage is motile due to cilia that propel it through water?",zygote,parasite,pupa,larva,D,Biology,Marine Biology,D,D,1,1
Give an example of benthos that live near vents on the deep ocean floor.,tubeworms,crustaceans,amphipods,arthropods,A,Biology,Marine Biology,A,A,1,1
Reef sponges typically have what type of beneficial relationships with other reef species?,microbes,parasitic,mutual,symbiotic,D,Biology,Marine Biology,C,D,0,1
Bony fish can live in either of what type of aquatic biome?,coral reefs or freshwater,saltwater or freshwater,oceans or estuaries,estuaries or saltwater,B,Biology,Marine Biology,B,B,1,1
What are mudskipper fish able to do in short distances?,walk,run,tumble,spit,A,Biology,Marine Biology,A,A,1,1
What is the foundation species of coral reef ecosystems?,anemones,crystals,molluscs,coral,D,Biology,Marine Biology,D,D,1,1
Sharks are an example of an animal with sharp vision that is nonetheless unable to distinguish what?,shapes,color,depth,contrast,B,Biology,Marine Biology,C,B,0,1
Fish have a circulatory system with a two-chambered what?,lung,brain,stomach,heart,D,Biology,Marine Biology,D,D,1,1
"What type of organism, including sea stars and sand dollars, is named for their spiny skin?",diatoms,mollusks,echinoderms,chordates,C,Biology,Marine Biology,C,C,1,1
Most hydrozoa have both polyp and what forms in their life cycle?,globular,hydra,polypoid,medusa,D,Biology,Marine Biology,D,D,1,1
"Shark teeth likely evolved from the jagged scales that cover their skin, called what?",placoid scales,heterotroph scales,hook scales,pinworm scales,A,Biology,Marine Biology,A,A,1,1
Fish use some of their fins to propel themselves through the water and others to do what?,breathe,steer,reproduce,rest,B,Biology,Marine Biology,B,B,1,1
What common sea creature can be both awake and asleep at the same time?,sharks,Whales,dolphins,reefs,C,Biology,Marine Biology,C,C,1,1
"Hemolymph bathes organs directly in arthropods and most molluscs, due to an open type of what system?",nervous,circulatory,pulmonary,reproductive,B,Biology,Marine Biology,B,B,1,1
Are cnidarians typically found in ocean or fresh water habitats?,ocean,lakes,rivers,freshwater,A,Biology,Marine Biology,A,A,1,1
What is the most common life form in the ocean?,plankton,kelp,algae,coral,A,Biology,Marine Biology,A,A,1,1
"The flow of water through the sponge is unidirectional, driven by the beating of what?",antennae,cilia,fin,flagella,D,Biology,Marine Biology,B,B,0,0
What are the specialized cells of sponges called?,helper cells,plant cells,collar cells,t cells,C,Biology,Marine Biology,C,C,1,1
What do scientists attach to aquatic animals to collect information?,ultraviolet tags,radio tags,fluorescent tags,satellite tags,D,Biology,Marine Biology,B,D,0,1
Budding in sponges is a form of what type of reproduction?,sexual,asexual,reasonable,competitive,B,Biology,Marine Biology,B,B,1,1
"Coral and the algae living inside of them have what type of relationship, since the algae relies on the coral to stay close to the water's surface?",competitive,peculiar,parasitic,symbiotic,D,Biology,Marine Biology,D,D,1,1
Some species of fish carry their fertilized eggs in their mouth until they hatch; this is called what?,internal reproduction,spawning,mouth brooding,schooling,C,Biology,Marine Biology,C,C,1,1
Why would prokaryotes be chemotrophs instead of phototrophs in a deep-sea hydrothermal vent?,lack of light,too cold,too much light,too much heat,A,Biology,Marine Biology,A,A,1,1
"Mollusks such as squid and octopi, which must hunt to survive, possess what complex organs containing millions of neurons?",brains,hearts,gills,tentacles,A,Biology,Marine Biology,A,A,1,1
What type of animal in the sea spend most of their lives as medusae?,jellyfish,fish,sharks,whales,A,Biology,Marine Biology,A,A,1,1
"What subphylum, which includes crabs and crayfish, represents the dominant aquatic arthropods?",crustaceans,sponges,arachnids,invertebrates,A,Biology,Marine Biology,A,A,1,1
Echinoderms lack what type of system that in humans consists of the brain and spinal cord?,endocrine system,centralized nervous system,autonomic system,peripheral nervous system,B,Biology,Marine Biology,B,B,1,1
What do you call it when adult fish of the same species come together in a group and release gametes into the water at the same time?,migration,schoaling,poaching,spawning,D,Biology,Marine Biology,D,D,1,1
"Clams, oysters, scallops, and mussels are examples of what type of species?",invertebrates,mammals,mollusks,tortoises,C,Biology,Marine Biology,C,C,1,1
"Of the nine classes of vertebrates, how many are fish?",five,four,one,three,A,Biology,Marine Biology,B,B,0,0
Are coral reefs found in warm or cold water?,cool,warm,cold,both,B,Biology,Marine Biology,B,B,1,1
"Echinoderms are found in many different ocean environments, but most are found where?",in beaches,in reefs,in tidepools,in waterfalls,B,Biology,Marine Biology,B,B,1,1
What can echinoderms sense with their simple eyes?,shapes,colors,light,electricity,C,Biology,Marine Biology,C,C,1,1
Fish hatch into larvae that are different from the adult form of?,species,parasites,sex,color,A,Biology,Marine Biology,A,A,1,1
What do tube worms rely on for food?,lentiviruses microorganisms,chemosynthetic microorganisms,fatty microorganisms,sponges microorganisms,B,Biology,Marine Biology,B,B,1,1
Hydrostatic skeletons are well suited for life in what kind of environments?,aquatic,pelagic,bacterial,surface,A,Biology,Marine Biology,A,A,1,1
Hagfishes have a skull made of what?,gelatin,chitin,bone,cartilage,D,Biology,Marine Biology,D,D,1,1
What is the predominant stage in the life cycle of most scyphozoans?,hydra,spore,medusa,gamete,C,Biology,Marine Biology,C,C,1,1
What is the largest cartilaginous fish?,dolphin,blue whale,sturgeon,whale shark,D,Biology,Marine Biology,D,D,1,1
Echinoderms are marine organisms that make up which phylum?,chordata,annelida,echinodermata,cnidaria,C,Biology,Marine Biology,C,C,1,1
Coral reefs are a type of what large community and have the highest biodiversity on earth?,biome,phylum,taxon,order,A,Biology,Marine Biology,A,A,1,1
What kind of symmetry do echinoderm larvae have?,bilateral,internal,radial,spherical,A,Biology,Marine Biology,C,A,0,1
What covers the body of a fish to help the move their body to swim?,gelatin,skin,scales,hairs,C,Biology,Marine Biology,C,C,1,1
What is the method of reproduction for echinoderms?,internal fertilization,external fertilization,pollination,fragmentation,B,Biology,Marine Biology,B,B,1,1
"Without dinoflagellate symbionts, corals lose algal pigments in a process called coral bleaching and eventually die, while corals in turn provide protection, making this what type of relationship?.",idealistic,semantic,symbiotic,parasitic,C,Biology,Marine Biology,C,C,1,1
What do jellyfish give off to startle possible predators?,plankton,energy,electricity,light,D,Biology,Marine Biology,C,D,0,1
Ocean ridges formed by marine invertebrates living in warm shallow waters within the photic zone of the ocean are called what?,coral reefs,trenches,lagoon,break water,A,Biology,Marine Biology,A,A,1,1
Does the stream-lined body featured on most fish increase or decrease water resistance?,decrease,quickens,precipitates,increases,A,Biology,Marine Biology,A,A,1,1
Where are sponges most likely anchored to?,sea floor,sand,beaches,reef or rock,D,Biology,Marine Biology,A,D,0,1
What type of oceans are hostile to algae and cytoplankton?,deeper,shallower,warmer,colder,C,Biology,Marine Biology,A,C,0,1
What type of vents are giant tube worms found at?,Heated,hydrothermal,oxygen,temperature,B,Biology,Marine Biology,B,B,1,1
What makes echinoderms force water into the feet and move forward?,spring contractions,vacuum contractions,muscle contractions,field contractions,C,Biology,Marine Biology,C,C,1,1
Scientists that study dolphins and other life in the ocean are called what?,marine biologists,marine geneticists,sea biologists,ocean biologists,A,Biology,Marine Biology,A,A,1,1
"In ovoviviparous fish like shark, what develops inside the mother’s body but without nourishment from the mother?",genes,spores,eggs,molecules,C,Biology,Marine Biology,C,C,1,1
What kind of system do echinoderms possess?,water-based circulatory,autonomic nerous system,primitive respiratory,photosynthetic,A,Biology,Marine Biology,A,A,1,1
Name the type of system that a jellyfish does not have?,circulatory,nervous,reproductive,hereditary,A,Biology,Marine Biology,D,A,0,1
Some marine algae have evolved special structures capable of what plant process?,pollination,respiration,seed germination,photosynthesis,D,Biology,Marine Biology,D,D,1,1
Where do the majority of species live?,ocean,air,trees,land,A,Biology,Marine Biology,D,A,0,1
Why does photosynthesis not occur in the deep-water zone?,it is pressurized,it is dark,it is cold,it is stagnant,B,Biology,Marine Biology,B,B,1,1
"Some fish will be over-fished to the point that their species ceases to exist, which is also known as what?",endangered,accumulation,extinction,abundance,C,Biology,Marine Biology,C,C,1,1
What do aquatic arthropods use to exchange gases with the water?,nostrils,pores,lungs,gills,D,Biology,Marine Biology,D,D,1,1
The skeleton of lampreys is made of what?,collagen,cartilage,ligament,chitin,B,Biology,Marine Biology,B,B,1,1
What equals the mass of the object (in kilograms) times the acceleration due to gravity (9.8 m/s 2 )?,speed of light,weight,density,velocity,B,Physics,Mechanics,B,B,1,1
An object undergoing circular motion experiences centripetal what?,velocity,vibration,acceleration,transmission,C,Physics,Mechanics,C,C,1,1
