Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch
What property allows cut logs to float on water?,heat,polarity,precipitation,density,D,Physics,Mechanics
Different interatomic distances produce different lattice what?,surfaces,energies,qualities,weights,B,Physics,Atomic Physics
What organs filter blood and form urine?,the appendix,the spleen,the kidneys,the liver,C,Biology,Anatomy/Physiology
A chain of what structures form as an oceanic plate moves over a hotspot?,ridges,earthquakes,outcrops,volcanoes,D,Earth Sciences,Geology
"What is responsible for many properties of covalent compounds, which have relatively low boiling points, cannot conduct electricity, and may not dissolve in water?",accretion bonds,covalent bonds,ionic charge,atomic weight,B,Chemistry,Inorganic Chemistry
"Within each sporangium, hundreds of what kind of spores develop and are dispersed through the air?",haploid,polyploid,diploid,infertile,A,Biology,Botany
What delivers power to the chemical factory chloroplasts?,oxygen,the sun,water,chlorophyll,B,Biology,Biochemistry
Which type of bryophytes are named for their horn-like sporophytes?,flatworms,hornworts,arthropods,tapeworms,B,Biology,Botany
What do you call a carnivore that eats mainly insects?,insectivores,predator,pescatorian,omnivores,A,Biology,Zoology
"Oxygen has the second highest electronegativity of any element; consequently, it prefers to share or accept electrons from other elements. only with fluorine does oxygen form compounds in this?",chemical oxidation states,positive oxidation states,liquid oxidation states,negative Oxidation States,B,Chemistry,Inorganic Chemistry
What component of cells is present in plant and bacterial cells but not animal cells?,nucleus,cell wall,plasma,mitochondria,B,Biology,Cell Biology
Energy cannot be created or destroyed - it can only change what?,kind,form,fluid,shape,B,Physics,Thermodynamics
Most fungi can reproduce in which 2 ways?,asexually and sexually,binary fission and fusion,sexually and autonomously,sexually and binary fusion,A,Biology,Microbiology
What is a pair of valence electrons in a bonded atom that does not participate in bonding called?,opposite pair,isolated pair,lone pair,hostile pair,C,Chemistry,Inorganic Chemistry
"When a metal is oxidized and a nonmetal is reduced in a redox reaction, what is the resulting compound called?",ionic compound,alloy,soluble compound,magnetic compound,A,Chemistry,Inorganic Chemistry
A biofilm is a colony of prokaryotes that is stuck to what?,the middle,the bottom,surface,skin,C,Biology,Ecology
What is the part of the flower that produces pollen?,stamen,stigma,cones,leaves,A,Biology,Botany
What neutralizes the acidity of chyme and acts as a buffer?,the small intestine,bile,the bicarbonate,the chloride,C,Chemistry,Inorganic Chemistry
What type of stress causes horizontal motions in strike-slip faults?,cold,shear,hot,blunt,B,Earth Sciences,Geology
What is the term for the process in which two atomic nuclei fuse together to make a single nucleus?,fission,absorption,binding,fusion,D,Physics,Nuclear and Particle Physics
"In human beings, when a female becomes pregnant, what is fertilized and then embedded in the uterus?",follicle,egg,dna,sperm,B,Biology,Reproductive Biology
What has increased the greenhouse effect?,human actions,temperature changes,ozone depletion,climate change,A,Environmental Science,Environmental Science
How many pairs of chromosomes are there?,25,16,23,24,C,Biology,Genetics
Light from a distant galaxy can travel different paths to the earth because it is bent around an intermediary galaxy by what?,gravity,radiation,strength,variation,A,Physics,Astronomy
What is the fruiting body that occurs after two hyphae mate and form a mycelium with sporangia?,mushroom,mold,yeast,fungus,A,Biology,Microbiology
Prokaryotes are successful because of the ________ of reproduction in favorable environments,order,cycle,volume,speed,D,Biology,Microbiology
Where do benthos live in oceans?,In deep water,On the ocean surface,In coral reefs,on the ocean floor,D,Biology,Marine Biology
"Hundreds of organelles called myofibrils, made up of two types of protein filaments, are contained in each fiber of what?",muscle,bone,hair,cartilage,A,Biology,Anatomy/Physiology
What is the largest known virus?,polyomavirus,mimivirus,influenza virus,pneumonia virus,B,Biology,Microbiology
The temperature at which something melts is refered to as what?,precipitation point,evaporation point,melting point,boiling point,C,Chemistry,Physical Chemistry
Solid bedrock vibrates less and therefore does less of what to bedrock?,dampen,block,butress,damage,D,Earth Sciences,Geology
What are animals that live with tiny zooxanthellae that also photosynthesize?,worms,coral,bacteria,fungi,B,Biology,Zoology
What usually causes fractures on a bone?,compressive stress,shear stress,excessive bending stress,extra weight,C,Biology,Anatomy/Physiology
What is the magnetic field traditionally referred to as?,bfield,charged field,m-field,spicule,A,Physics,Electromagnetism
What can ultimately result when species are introduced to a new place and prey on other species?,depletion,over population,extinction,elimination,C,Biology,Ecology
What is used to classify tornadoes?,"damage, snowfall","wind speed, damage",seismograph,"humidity, rain",B,Earth Sciences,Geography
What do you call materials that have high resistance to electric current?,semiconductors,electric insulators,conductors,destructive insulators,B,Physics,Electromagnetism
"Cell walls, plastids, and a large central vacuole distinguish plant cells from what?",parenchyma cells,animal cells,phloem cells,eukaryotic cells,B,Biology,Cell Biology
"Snails, scallops, and squids are what type of invertebrate?",crustacean,algae,mollusk,arthropod,C,Biology,Marine Biology
What are sudden and dramatic losses of biodiversity called?,mass extinction,life extinction,explosive extinction,normal extinction,A,Biology,Ecology
The ions in ionic compounds are arranged in rigid three-dimensional patterns called what?,core lattices,lattice groups,pattern lattices,crystal lattices,D,Chemistry,Physical Chemistry
Where was the distinction between total distance traveled and displacement first noted?,uncertainty principle,Newton's first law,one-dimensional kinematics,string theory,C,Physics,Mechanics
What science is the study of the shape and arrangement of cells in tissue?,cellology,histology,methodology,genetics,B,Biology,Cell Biology
What forms when a sperm fertilizes and egg?,zygote,cytoplasm,crystals,proton,A,Biology,Reproductive Biology
The field of organic chemistry studies the structure and reactivity of compounds containing what element?,hydrogen,nitrogen,carbon,oxygen,C,Chemistry,Organic Chemistry
"Where does growth in length occur, above the root cap?",primary meristem,vascular cambrium,primary tuber,apical meristem,A,Biology,Botany
Asci are used by mycelia for what kind of reproduction?,mitosis,asexual reproduction,sexual,cloning,C,Biology,Microbiology
What is the term used to describe the liquid that moves through the vessels and includes plasma and the cells and sell fragments called platelets?,water,blood,pus,bacteria,B,Biology,Anatomy/Physiology
"The density of bone is, in part, related to the amount of what mineral in one’s diet?",potassium,calcium,barium,nitrogen,B,Biology,Anatomy/Physiology
What is the sum of the masses of the atoms in a molecule?,mass effect,compound mass,atomic energy,molecular mass,D,Chemistry,Physical Chemistry
"Chloroplasts, leucoplasts and chromoplasts are found in what type of cells?",nitrogen cells,animal cells,man-made cells,plant cells,D,Biology,Cell Biology
"Salt in seawater causes it to have greater what, which is also affected by temperature and pressure?",volume,mass,density,area,C,Earth Sciences,Oceanography
What is the name of a long and low hill of sediments which have been deposited by a glacier?,a crag,a drumlin,a mountain,a floodplain,B,Earth Sciences,Geology
Green plants known as producers provide basic food supply for what besides themselves?,animals,minerals,air,water,A,Biology,Ecology
The lipids that are connected to the glucose pathways are cholesterol and triglycerides. cholesterol is a lipid that contributes to cell membrane flexibility and is a precursor of this?,ammonia hormones,Somatostatin,Thrombopoietin,steroid hormones,D,Biology,Biochemistry
What chemical reaction is the opposite of oxidation?,condensation,reduction,mutation,evaporation,B,Chemistry,Inorganic Chemistry
What structure is a larger assembly of several polypeptide chains that are now referred to as subunits of the protein?,digital structure,geological structure,quaternary structure,pyramid structure,C,Biology,Biochemistry
"The punnett square shows the possible what, and their most likely ratios?",receptors,chromosomes,phenotypes,genotypes,D,Biology,Genetics
"Angiosperms produce their gametes in separate organs, which are usually housed in these?",flowers,stems,leaves,seeds,A,Biology,Botany
What are the two types of charges?,ions and neutrons,positive and negative,energy and mass,volume and acceleration,B,Physics,Electromagnetism
What is the name for a change in a single nucleotide in dna?,point mutation,spontaneous mutation,adaptation,cell regeneration,A,Biology,Genetics
