Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4
Dose limiting toxicity of amphotericin B is:,Infusion related reaction,Renal tubular acidosis,Myelosuppression,Hypotension,B,Pharmacology,B,B
Treatment for methotrexate poisoning,Dietary folic acid,Niacin,Folinic acid,Biotin,C,Pharmacology,C,C
Second line AKT drug causing peripheral neuropathy -,Ethionamide,Rifabutin,PAS,Moxifloxacin,A,Pharmacology,A,A
Linezolid inhibits bacterial protein synthesis by :,Binds to the 23S fraction of the 30S ribosome at P site,Binds to the 23S fraction of the 50S ribosome at A site,Binds to the 23S fraction of the 30S ribosome at A site,Binds to the 23S fraction of the 50S ribosome at P site,D,Pharmacology,B,B
"The drug possessing antagonistic action at histamine, serotonin and muscarinic receptors is:",Promethazine,Terfenadine,Cyproheptadine,Hydroxyzine,C,Pharmacology,C,C
Most useful supraglottc airway device in abdominal surgery NOT RELATED-SURGERY,FAST-trach LMA,PROSEAL LMA,SLIPA,C TRACH LMA,B,Pharmacology,A,A
The t (8;14) translocation is associated with activation of which of the following genes? (NOT RELATED),c-abl,c-myc,bcl-2,bcl-I,B,Pharmacology,B,B
Verapamil is contraindicated in:,Hypeesion,Complete hea block,Paroxysmal supraventricular tachycardia,Angina pectoris,B,Pharmacology,B,B
Anti-arrhythmic drug+ antianginal drugs,Beta blockers,Nitrates,Rho kinase inhibitor,Potassium channel openers,A,Pharmacology,A,A
Treatment of choice in hypeension with diabetes mellitus is,Beta blockers,Thiazides,ACE Inhibitors,Calcium channel blockers,C,Pharmacology,A,A
Lid retraction is caused by?,Bimatoprost,Latanoprost,Brimonidine,Apraclonidine,D,Pharmacology,B,A
Which drug should not be given in pregnancy?,Labetalol,ACE inhibitors,Hydralazine,Methyl dopa,B,Pharmacology,A,A
Mechanism of action of methadone is,Opioid receptor agonist,Opioid receptor partial agonist,Opioid receptor antagonist,Opioid receptor inverse agonist,A,Pharmacology,A,A
Pharmacovigilance is used for-,To monitor drug toxicity,To monitor unauthorized drug manufacture,Monitoring of students,Check costs,A,Pharmacology,A,A
"For pain control in a patient having history of G I bleeding, which of the following is given?",Nimesulide,Ibuprofen,Rofecoxib,Pentazocin,C,Pharmacology,C,D
"In which phase of clinical trials, post-marketing surveillance of a drug is carried out",Phase I,Phase II,Phase III,Phase IV,D,Pharmacology,D,D
Pseudomembranous colitis is associated mostly with which drug?,Erythromycin,Ampicillin,Vancomycin,Ciprofloxacin,B,Pharmacology,C,A
"In depression , there is deficiency of:",5-HT,Acetylcholine,Dopamine,GABA,A,Pharmacology,A,A
Hepatic First pass metabolism will be encountered by which of the following routes of drug administration?,Oral,Intravenous,Sublingual,Subcutaneous,A,Pharmacology,A,A
What is the dose of mifepristone in Medical aboion?,600 mg,200 mg,400 mg,100 mg,A,Pharmacology,B,B
Drug of choice for imminent eclampsia is,Hydralazine,Labetolol,MgSO4,Methyldopa,C,Pharmacology,C,C
The mechanism of anticancer action of fluorouracil is:,Cross linking of double stranded DNA and the resulting inhibition of DNA replication and transcription,Cytotoxicity resulting from a metabolite that interferes with the production of dTMP,Irreversible inhibition of dihydrofolic acid reductase,Inhibiting the formation of mitotic spindle,B,Pharmacology,B,B
Pharmacovigilance is done for monitoring -,Drug price,Unethical practices,Drug safety,Pharmacology students,C,Pharmacology,C,C
Zero order kinetics means:,A constant amount of drug is eliminated per unit time,A constant fraction of the drug in the body is eliminated per unit time,The fraction of the administered dose that reaches the systemic circulation.,The effect that can be increased by giving a second agent that boosts the effect of the liver's enzyme system,A,Pharmacology,A,A
Which of the following parameters signifies the effective drug removal from the body?,Clearance,Bioavailability,Safety,Volume of distribution,A,Pharmacology,A,A
Which of the following antiglaucoma medication is UNSAFE in infants?,Timolol,Brimonidine,Latanoprost,Dorzolamide,B,Pharmacology,A,B
What percentage of Lente Insulin is amorphous?,70%,30%,50%,90%,B,Pharmacology,D,A
Which of the following is an active metabolite of another drug and is available as a separate drug for the treatment of angina?,Isosorbide mononitrate,Isosorbide dinitrate,Nitroglycerine,Propanolol,A,Pharmacology,B,A
Which of the following is glucocorticoid receptor blocker?,Aminoglutethemide,Mifepristone,Trilostane,Ketoconazole,B,Pharmacology,B,B
In which type of poisonings is gastric lavage contraindicated?,Organophosphorus poisoning,Sedative drug poisoning,Corrosive acid poisoning,Barium carbonate poisoning,C,Pharmacology,C,C
Vecuronium acts on :,Cerebral cortex,Myoneural junction,Muscle fibres,Spinal cord,B,Pharmacology,B,B
Which of the following inhibits CYP-P450,grape fruit,Ethanol,Rifampicin,Procainamide,A,Pharmacology,A,A
Which of the following is not an inhalational steroids?,Beclomethasone,Betamethasone,Budesonide,Fluticasone acetonide,B,Pharmacology,B,B
Tafenoquine - anti TB drug has been approved in July 2018 for,Radicle cure of P falciparum,Radicle cure of P vivax,Clinical cure of P falciparum,Clinical cure of P vivax,B,Pharmacology,B,B
"Sympathomimetic drug acting on Dl, D2 and b-1 receptors, but not b-2 receptors -",Dobutamine,Dopexamine,Dopamine,Isoprenaline,C,Pharmacology,A,C
"A 45 year old female was diagnosed with breast carcinoma. She was operated and is taking tamoxifen therapy for the last 1 year. Now she is complaining of bleeding per vaginum. If this is due to the adverse effect of tamoxifen, the most likely cause is:-",Development of bleeding disorder,Development of endometrial carcinoma,Development of ovarian carcinoma,Development of cervical cancer,B,Pharmacology,B,B
Red man syndrome is seen with,Lincomycin,Vancomycin,Linezolide,Carbanicilliase,B,Pharmacology,B,B
Which of the following antiepileptic drugs can cause hirsutism in a 30 year old woman?,Phenytoin,Carbamazepine,Valproate,Ethosuximide,A,Pharmacology,A,A
Pseudojaundice is an adverse effect of:,Phenytoin,Rifabutin,Omeprazole,Chlorpromazine,B,Pharmacology,B,C
Which of the following drug is a potassium channel opener,Nifedipine,Minoxidil,Enalapril,Atenolol,B,Pharmacology,B,B
What is the ideal time for cord clamping in a term baby according to the recent guidelines? NOT RELATED-GYN,Immediate,After 30 seconds,After 1 minute minimum,After 15 seconds,C,Pharmacology,A,A
"An antihelmenthic drug that is effective against blood fluke, liver fluke, lung fluke and cysticercus is:",Albendazole,Praziquantal,Ivermectin,Thiabendazole,B,Pharmacology,B,B
Which of the following drugs acts on trabecular mesh-work and affects the aqueous outflow?,Timolol,Pilocarpine,Brimonidine,Brinzolamide,B,Pharmacology,B,B
"Beta adrenergic blocker having cardioselectivity, intrinsic sympathomimetic activity and membrane stabilizing propey is:",Carvedilol,Atenolol,Acebutolol,Metoprolol,C,Pharmacology,A,A
Drug of choice for pregnancy induced hypertension is:,Methyl dopa,Atenolol,Nitroprusside,Enalapril,A,Pharmacology,A,A
Flumazenil antagonize the effect of which drug:,Ketamine,Fentanyl,Midazolam,Propofol,C,Pharmacology,C,C
Bromocriptine is agonist of -,Dopamine,Serotonine,Acetylcholine,Epinephrine,A,Pharmacology,A,A
"Roopa Devi, a 65-year-old female with lymph-node-positive breast cancer was treated with systemic chemotherapy. Four weeks later, she developed frequent urination, suprapubic pain, dysuria, and hematuria. Which of the following could have prevented this patient's condition?",Folinic acid,Mesns,Dexrazoxane,Amifostine,B,Pharmacology,B,A
Drug of choice in Lithium induced diabetes mellitus?,Conivaptan,Amiloride,Indapamide,Vasopressin,B,Pharmacology,A,A
Which of the following is NOT a MAO inhibitor?,Tranylcypromine,Isocarboxazide,Phenelzine,Maprotiline,D,Pharmacology,D,D
Which of the following drug is contraindicated in closed angle glaucoma?,Adrenaline,Timolol,Atropine,Pilocarpine,C,Pharmacology,B,A
Which one of the following drugs is not used in the treatment of mycobacterium avium intercellular infection cla,Claruthromycin,Eflornithine,Ethambutol,Rifabutin,B,Pharmacology,B,B
A 27-year-old female came for treatment of infertility to OPD; bromocriptine was prescribed. What could be the possible reason?,Hyperprolactinemia,PCOD,Hypogonadotropic hypogonadism,PID,A,Pharmacology,A,A
Which of the following drug is a long acting beta-2 agonist?,Albuterol,Salmeterol,Pirbuterol,Orciprenaline,B,Pharmacology,B,B
Maximum tachycardia is seen with-,Nifedipine,Verapamil,Propanolol,Amlodipine,A,Pharmacology,C,A
Drug causing Reye syndrome:,Celecoxib,Aspirin,Diclofenac,Paracetamol,B,Pharmacology,A,A
Which drugs action needs insulin presence to produce its therapeutic action?,Glibenclamide,Nateglinide,Pioglitazone,Empagliflozin,C,Pharmacology,A,A
Mesalamine is used in:,Ulcerative colitis,Diabetes,Erectile dysfunction,Tinea corporis,A,Pharmacology,A,A
Free water clearance is decreased by,Vincristine,Vinblastine,Chlorpropamide,Furosemide,D,Pharmacology,D,C
Which of the following drug has uricosuric action?,Nifedipine,Amlodipine,Atenolol,Carvedilol,B,Pharmacology,C,
Which of the following medications would be prescribed most frequently to patients suffering from chronic atrial fibrillation?,Lidocaine,Bretylium,Warfarin,Adenosine,C,Pharmacology,C,C
Which of the following drugs is topoisomerase 1 inhibitor?,Doxorubicin,Irinotecan,Etoposide,Vincristine,B,Pharmacology,B,B
Which anti TB drug is contraindicated throughout the pregnancy:,Rifampicin,Streptomycin,Isoniazid,Ethambutol,B,Pharmacology,B,B
Digibind is used to:,Potentiate the action of Digoxin,Decrease the metabolism of Digoxin,Treat Digoxin toxicity,Rapidly digitalize the patient,C,Pharmacology,C,C
Laboratory monitoring of which of the following is desirable with low molecular weight heparin therapy in a patient with renal failure?,aPTT,CT,PT,Anti-factor Xa activity,D,Pharmacology,A,A
Emotions are linked with which part of the brain,Pre-frontal cortex,Limbic system,Hypothalamus,Reticular formation,B,Physiology,B,B
The main cause of minimal change ds is,Increase in pore size,Loss of negative charge on membrane,Loss of cells,Decreased circulation,A,Physiology,B,B
Entropion is,Inversion of eyelid,Inversion of eyelashes,Eversion of eyelid,Eversion of eyelashes,A,Physiology,A,A
Which is not an action of bradykinin?,Vasoconstriction,Increased vascular permeability,Chemo attractant,Pain on injection,A,Physiology,A,A
Largest cross-sectional area,Aery,Veins,Capillaries,Venules,C,Physiology,B,B
Contribution of Na+/K+ pump to the development of RMP is:,- 90 mV,- 89 mV,- 86 mV,- 4 mV,D,Physiology,B,D
J receptors are found in which of the following-,Pulmonary interstitium,Alveolar capillaries,Terminal bronchiole,Respiratory muscles,A,Physiology,A,A
Increase in P50 in oxygenation curve is due to decrease in,PH,Oxygen,Temperature,CO2,A,Physiology,B,A
Trpohic hormones refer to:,Hormones secreted from hypothalamus,Pituitary gland hormones,Hormones that stimulate the secretion of other endocrine glands,Hormones of posterior pituitary,C,Physiology,C,C
Normal sperm count is,20-40 million/ml,40-60 million/ml,60-80 million/ml,15 million/ml,D,Physiology,A,A
NO is synthesized by -,Uracil,Aspartate,Guanosine,Arginine,D,Physiology,A,A
Maximum pressure in the left ventricle is seen in which phase of the cardiac cycle,Isovolumetric contraction,Ventricular ejection,Protodiastole,Rapid ventricular filling,B,Physiology,B,B
"Which of the following is the ""regulated membrane transfer""?",Insulin secretion by pancreatic b-cell,O2 diffusion across the respiratory membrane,Folate entry into the cells,Mucus secretion by goblet cells,A,Physiology,A,A
Angiotensin II causes A/E:,Stimulates release of ADH,Increases thirst,Vasodilation,Stimulates aldosterone release,C,Physiology,A,C
Pubarche is due to,GH,Prolactin,Estrogen,Testosterone,D,Physiology,D,D
Pancreatic lipase that digests lipids require,Vitamin B12,Pyridoxine,Tocopherol,Colipase,D,Physiology,C,C
Affiliation refers to,Paternity dispute,Divorece case,Rape,Adultery,A,Physiology,A,A
Sensations of spinothalamic tract are:,"Pain, temperature & undifferentiated touch",Static proprioception,Temperature only,Proprioception,A,Physiology,A,A
Maximum postprandial motility is seen in,Ascending colon,Transverse colon,Descending colon,Sigmoid colon,C,Physiology,B,A
Monro-kellie doctrine is related to injury of -,Head,Abdomen,Chest,Leg,A,Physiology,A,A
Continuous administration of GnRH-,Stimulates hypothalamic--pituitary axis,Suppresses hypothalamic--pituitary axis,May suppresses or stimulate hypothalamic--pituitary axis,Has so no effect on hypothalamic--pituitary axis,B,Physiology,A,B
Thyroxine is transpoed by?,Albumin,Transthyretin,Transferrin,Ceruloplasmin,A,Physiology,B,A
Calcitonin is produced by -,Thyroid,Pituitary,Pancreas,Hypothalamus,A,Physiology,A,A
Life span of neonatal RBC -,60-90 days,90-120 days,120-150 days,150-200 days,A,Physiology,A,A
What will occur with increase in alveolar ventilation rate,Decreased paial pressure of O2 in alveoli,Decreased paial pressure of CO2 in alveoli,Decreased CO2 diffusion from blood to alveoli,Decreased O2 diffusion from alveoli to blood,B,Physiology,B,B
"Cushing reflex, there is",Increased BP and Increased hea rate,Increased BP and Decreased hea rate,Decreased BP and Decreased hea rate,Decreased BP and Increased hea rate,B,Physiology,B,B
Action of drug that stimulates carotid is expected to cause:,| In pH of blood,| pCO2 of arterial blood,| Urinary Na excretion,| Plasma C1 concentration,B,Physiology,B,B
Pulmonary wedge pressure is indirectly,Left atrial pressure,Right atrial pressure,Right ventricular pressure,Left ventricular pressure,A,Physiology,A,A
Which of the following is the most important stimulus for the secretion of bile:,Bile salts,Bile acid,Secretin,CCK,A,Physiology,C,C
Activation of which of the following hormone's receptors produces E.Coli induced diarrhoea?,Ghrelin,Guanylin,VIP,Somatostatin,B,Physiology,B,B
Blood flow to skeletal muscles (ml/min),100,200,400,800,D,Physiology,C,D
Earliest change in high altitude is:,Hyperventilation,Decrease in work capacity,Drowsiness,Polycythemia,A,Physiology,D,A
Which of the following is a neuroendocrine function of lungs?,Erythropoiethin secretion,Angiotensin conversion,Manufacture surfactant,Fibrinolytic substance secretion,B,Physiology,A,A
